"","code","sections","college","sub_college","abbr","no","title","student","A","tgp","avg"
"824","B BUS 310",82,NA,NA,"B BUS",310,"MANAGERIAL ECON",3095,567,9637,3.11373182552504
"825","B BUS 320",73,NA,NA,"B BUS",320,"INTRO MKTG MGMT",2886,427,9407.5,3.25970200970201
"826","B BUS 330",22,NA,NA,"B BUS",330,"INFO MGMT & ANALYS",737,235,2479.2,3.36390773405699
"827","B BUS 340",74,NA,NA,"B BUS",340,"OPERTN & PROJ MGMT",2812,465,9332.3,3.31874110953058
"828","B BUS 350",73,NA,NA,"B BUS",350,"BUSINESS FINANCE",2697,357,8495.1,3.14983314794216
"829","B BUS 361",30,NA,NA,"B BUS",361,"INTERMED ACCTG I",1162,132,3532.9,3.04036144578313
"830","B BUS 362",28,NA,NA,"B BUS",362,"INTERMED ACCTG II",992,196,2964.7,2.98860887096774
"831","B BUS 363",19,NA,NA,"B BUS",363,"INTERMED ACCTG III",642,124,1941.7,3.02445482866044
"832","B BUS 373",27,NA,NA,"B BUS",373,"COST ACCOUNTING",1002,155,3174,3.16766467065868
"833","B BUS 402",25,NA,NA,"B BUS",402,"MANAGING TEAMS",802,167,2685.6,3.34862842892768
"834","B BUS 411",25,NA,NA,"B BUS",411,"AUDIT THEORY & PRAC",870,139,2785.3,3.20149425287356
"835","B BUS 412",3,NA,NA,"B BUS",412,"ADV BUSINESS LAW",56,8,185,3.30357142857143
"836","B BUS 421",11,NA,NA,"B BUS",421,"CONSUMER MARKETING",374,48,1187.1,3.17406417112299
"837","B BUS 423",22,NA,NA,"B BUS",423,"MARKET INTELLIGENCE",781,106,2612,3.34443021766965
"838","B BUS 426",8,NA,NA,"B BUS",426,"INTL MARKETING",258,46,846.7,3.28178294573643
"839","B BUS 427",5,NA,NA,"B BUS",427,"ENTREPREN MARKETING",124,33,434.4,3.50322580645161
"840","B BUS 429",1,NA,NA,"B BUS",429,"SPEC TOPIC MARKETNG",37,10,136.9,3.7
"841","B BUS 431",8,NA,NA,"B BUS",431,"E-MARKETING",335,108,1202.3,3.5889552238806
"842","B BUS 435",24,NA,NA,"B BUS",435,"ACCTG INFO SYSTEMS",804,378,2927.7,3.64141791044776
"843","B BUS 438",17,NA,NA,"B BUS",438,"MARKETING MGMT LAB",573,62,1890.1,3.29860383944154
"844","B BUS 441",8,NA,NA,"B BUS",441,"BUS PROJECT MGT",216,78,785.6,3.63703703703704
"845","B BUS 443",7,NA,NA,"B BUS",443,"ENTREPRENEURSHP SEM",194,83,687.8,3.54536082474227
"846","B BUS 444",6,NA,NA,"B BUS",444,"PRODUCT DEVEL LAB",132,49,478.4,3.62424242424242
"847","B BUS 445",6,NA,NA,"B BUS",445,"MERCHANDISE ACQUI",119,55,427.3,3.59075630252101
"848","B BUS 446",3,NA,NA,"B BUS",446,"STRAT RETAIL PROMO",58,16,199.4,3.43793103448276
"849","B BUS 447",5,NA,NA,"B BUS",447,"RETL OPS & SUP CHN",97,55,351.6,3.62474226804124
"850","B BUS 448",2,NA,NA,"B BUS",448,"RETAIL TECH & LDSHIP",31,18,117.7,3.79677419354839
"851","B BUS 450",25,NA,NA,"B BUS",450,"FED INCOME TAXATION",857,130,2762.1,3.22298716452742
"852","B BUS 451",33,NA,NA,"B BUS",451,"FIN PLAN AND PRAC",1236,321,4029.5,3.26011326860841
"853","B BUS 453",30,NA,NA,"B BUS",453,"FIN INST & MAR",1126,178,3556.7,3.15870337477798
"854","B BUS 454",36,NA,NA,"B BUS",454,"INVESTMENTS",1236,224,3886,3.14401294498382
"855","B BUS 455",7,NA,NA,"B BUS",455,"FUTURES AND OPTIONS",206,43,686.2,3.33106796116505
"856","B BUS 456",8,NA,NA,"B BUS",456,"ENTREPREN FINANCE",219,138,816.9,3.73013698630137
"857","B BUS 459",4,NA,NA,"B BUS",459,"SPEC TOPIC FINANCE",69,13,225.1,3.26231884057971
"858","B BUS 460",2,NA,NA,"B BUS",460,"SUSTAINABLE BUS",61,11,193.3,3.16885245901639
"859","B BUS 461",9,NA,NA,"B BUS",461,"BUS, GOV'T, & SOC",200,107,734.8,3.674
"860","B BUS 462",9,NA,NA,"B BUS",462,"NEGOTNS CONFLCT MGT",306,55,1036.4,3.38692810457516
"861","B BUS 463",8,NA,NA,"B BUS",463,"ADV FINANCIAL ACCTG",240,72,791.8,3.29916666666667
"862","B BUS 464",8,NA,NA,"B BUS",464,"NEW PRODUCT MKTG",213,42,737.5,3.46244131455399
"863","B BUS 467",3,NA,NA,"B BUS",467,"ADVANCED TAXATION",63,11,214.6,3.40634920634921
"864","B BUS 470",71,NA,NA,"B BUS",470,"B POL & STRTGC MGMT",2684,510,8495.6,3.16527570789866
"865","B BUS 471",9,NA,NA,"B BUS",471,"ENTREPRENEURIAL MGT",355,99,1211.1,3.41154929577465
"866","B BUS 472",24,NA,NA,"B BUS",472,"MANAGING EMPLOYEES",813,225,2768.9,3.40578105781058
"867","B BUS 473",24,NA,NA,"B BUS",473,"LDRSHIP & DECSNMKG",837,171,2711.2,3.23918757467145
"868","B BUS 475",8,NA,NA,"B BUS",475,"MANAGING INNOVATION",266,60,924.8,3.47669172932331
"869","B BUS 476",8,NA,NA,"B BUS",476,"NEW TECH & FUTR MKTS",296,42,1045.3,3.53141891891892
"870","B BUS 477",8,NA,NA,"B BUS",477,"HUMAN RES MGMT",295,78,1007.5,3.41525423728814
"871","B BUS 480",71,NA,NA,"B BUS",480,"GLOBAL ENV OF BUS",2534,608,8650,3.41357537490134
"872","B BUS 482",1,NA,NA,"B BUS",482,"INTRO SUPPLY CHN MGT",23,2,80.5,3.5
"873","B BUS 486",1,NA,NA,"B BUS",486,"SPLY CHN RESRC PLNG",16,3,46.4,2.9
"874","B BUS 489",4,NA,NA,"B BUS",489,"DIGITAL BUS LAB",100,42,354.5,3.545
"875","B BUS 490",9,NA,NA,"B BUS",490,"SPECIAL TOPICS",191,61,631.6,3.30680628272251
"876","B BUS 491",10,NA,NA,"B BUS",491,"BUSINESS CONSULTING",265,67,896.9,3.38452830188679
"877","B BUS 502",17,NA,NA,"B BUS",502,"QUANT & BIZ STAT",494,166,1744.1,3.53056680161943
"878","B BUS 503",14,NA,NA,"B BUS",503,"FIN & MGRL ACCTG",391,104,1368.2,3.49923273657289
"879","B BUS 504",16,NA,NA,"B BUS",504,"ECON FOR BIZ",463,120,1572.2,3.39568034557235
"880","B BUS 505",16,NA,NA,"B BUS",505,"FIN MGMT",445,145,1596.7,3.58808988764045
"881","B BUS 506",16,NA,NA,"B BUS",506,"MKTG MGMT",448,172,1643,3.66741071428571
"882","B BUS 507",14,NA,NA,"B BUS",507,"GLOBAL BIZ",413,189,1531.8,3.7089588377724
"883","B BUS 508",7,NA,NA,"B BUS",508,"BIZ LAW & ETHICS",196,64,707.6,3.61020408163265
"884","B BUS 509",18,NA,NA,"B BUS",509,"OP & PROJ MGMT",510,28,1811.5,3.55196078431373
"885","B BUS 510",17,NA,NA,"B BUS",510,"ORG THEORY & K MGMT",469,99,1673.8,3.56886993603411
"886","B BUS 511",2,NA,NA,"B BUS",511,"STR MGMT HI-TECH",59,10,197.5,3.34745762711864
"887","B BUS 512",14,NA,NA,"B BUS",512,"STRATEGY",404,97,1383,3.42326732673267
"888","B BUS 514",5,NA,NA,"B BUS",514,"BUSINESS COMM",120,44,436.7,3.63916666666667
"889","B BUS 521",4,NA,NA,"B BUS",521,"ENT. IT MGMT",92,22,326.2,3.54565217391304
"890","B BUS 522",3,NA,NA,"B BUS",522,"ORG BEHAVIOR",84,53,311.6,3.70952380952381
"891","B BUS 523",3,NA,NA,"B BUS",523,"NEW PROD MKTG&ENGR",84,14,304.8,3.62857142857143
"892","B BUS 524",3,NA,NA,"B BUS",524,"CREATE & INNOV MGT",96,30,358,3.72916666666667
"893","B BUS 525",8,NA,NA,"B BUS",525,"TECH & INNOV MGMT",232,74,843.7,3.63663793103448
"894","B BUS 526",3,NA,NA,"B BUS",526,"ENTREPRENEUR PRACT",85,47,319,3.75294117647059
"895","B BUS 528",4,NA,NA,"B BUS",528,"NEW PRODUCT MKTG",100,26,359.9,3.599
"896","B BUS 531",15,NA,NA,"B BUS",531,"LEAD & MNGRL EFFCT",412,187,1525.5,3.70266990291262
"897","B BUS 532",3,NA,NA,"B BUS",532,"MARKETING RESEARCH",96,14,338.8,3.52916666666667
"898","B BUS 533",5,NA,NA,"B BUS",533,"ADV LEADERSHIP",163,102,619.8,3.80245398773006
"899","B BUS 534",3,NA,NA,"B BUS",534,"HUMAN RESOURCE MGMT",62,18,229.3,3.69838709677419
"900","B BUS 539",2,NA,NA,"B BUS",539,"MKT INTELLIGENCE",30,5,103.5,3.45
"901","B BUS 544",1,NA,NA,"B BUS",544,"NEGOTIATIONS",28,12,103.6,3.7
"902","B BUS 546",6,NA,NA,"B BUS",546,"GLOBAL ECON SEMINAR",160,80,588.4,3.6775
"903","B BUS 549",4,NA,NA,"B BUS",549,"MGMT CONSULTING",90,60,346.7,3.85222222222222
"904","B BUS 560",1,NA,NA,"B BUS",560,"SUSTAINABLE BUS",27,9,99.9,3.7
"905","B BUS 590",11,NA,NA,"B BUS",590,"SPECIAL TOPICS",250,89,914.9,3.6596
"906","B BUS 591",3,NA,NA,"B BUS",591,"GLBL BUS STUDY TOUR",62,51,242.1,3.90483870967742
"907","B CHEM 110",4,NA,NA,"B CHEM",110,"CHEMISTRY AND LIFE",100,25,301.2,3.012
"908","B CHEM 115",5,NA,NA,"B CHEM",115,"INTROD CHEM I",129,17,418.4,3.24341085271318
"909","B CHEM 139",7,NA,NA,"B CHEM",139,"PREP FOR GEN CHEM",367,27,980.3,2.67111716621253
"910","B CHEM 142",7,NA,NA,"B CHEM",142,"GENERAL CHEMISTRY",528,30,1307.4,2.47613636363636
"911","B CHEM 143",13,NA,NA,"B CHEM",143,"GEN CHEM I",1586,72,4183.4,2.63770491803279
"912","B CHEM 144",64,NA,NA,"B CHEM",144,"GEN CHEM LAB I",1393,115,4073.2,2.9240488155061
"913","B CHEM 152",6,NA,NA,"B CHEM",152,"GENERAL CHEMISTRY",325,15,776.6,2.38953846153846
"914","B CHEM 153",12,NA,NA,"B CHEM",153,"GEN CHEM II",945,54,2515.8,2.66222222222222
"915","B CHEM 154",33,NA,NA,"B CHEM",154,"GEN CHEM LAB II",667,56,2025.8,3.03718140929535
"916","B CHEM 157",1,NA,NA,"B CHEM",157,"GEN CHEM STRATEGIES",15,15,60,4
"917","B CHEM 162",4,NA,NA,"B CHEM",162,"GENERAL CHEMISTRY",210,12,585.8,2.78952380952381
"918","B CHEM 163",10,NA,NA,"B CHEM",163,"GEN CHEM III",660,37,1825.2,2.76545454545455
"919","B CHEM 164",25,NA,NA,"B CHEM",164,"GEN CHEM LAB III",498,63,1557,3.12650602409639
"920","B CHEM 225",1,NA,NA,"B CHEM",225,"SCIENTIFIC WRITING",26,8,91,3.5
"921","B CHEM 237",20,NA,NA,"B CHEM",237,"ORGANIC CHEMISTRY",914,74,2346.1,2.56684901531729
"922","B CHEM 238",13,NA,NA,"B CHEM",238,"ORGANIC CHEMISTRY",589,64,1542.7,2.61918505942275
"923","B CHEM 239",12,NA,NA,"B CHEM",239,"ORGANIC CHEMISTRY",424,58,1173.9,2.7686320754717
"924","B CHEM 241",11,NA,NA,"B CHEM",241,"ORGANIC CHEM LAB I",448,47,1307.6,2.91875
"925","B CHEM 242",10,NA,NA,"B CHEM",242,"ORGANIC CHEM LAB II",306,61,996.2,3.25555555555556
"926","B CHEM 315",4,NA,NA,"B CHEM",315,"QUANT ENV ANALYSIS",118,7,320.5,2.71610169491525
"927","B CHEM 364",11,NA,NA,"B CHEM",364,"BIOCHEMISTRY I",243,47,741.2,3.05020576131687
"928","B CHEM 365",6,NA,NA,"B CHEM",365,"BIOCHEMISTRY II",131,30,415.1,3.16870229007634
"929","B CHEM 375",1,NA,NA,"B CHEM",375,"MOLECULAR BIOLOGY",19,4,57,3
"930","B CHEM 401",3,NA,NA,"B CHEM",401,"PHYSICAL CHEM I",89,5,234.1,2.63033707865169
"931","B CHEM 402",2,NA,NA,"B CHEM",402,"PHYSICAL CHEM II",44,3,118.8,2.7
"932","B CHEM 404",1,NA,NA,"B CHEM",404,"PHYSICAL CHEM LAB",15,10,57,3.8
"933","B CHEM 426",3,NA,NA,"B CHEM",426,"INSTRUMENTAL ANLYS",64,6,189.2,2.95625
"934","B CHEM 493",1,NA,NA,"B CHEM",493,"ADV TOPICS IN CHEM",18,18,72,4
"935","B CHEM 495",2,NA,NA,"B CHEM",495,"INVEST CHEM I",35,10,118,3.37142857142857
"936","B CHIN 101",5,NA,NA,"B CHIN",101,"FIRST-YEAR CHINESE",107,73,398.9,3.72803738317757
"937","B CHIN 102",3,NA,NA,"B CHIN",102,"FIRST-YEAR CHINESE",49,39,189.4,3.86530612244898
"938","B CHIN 103",1,NA,NA,"B CHIN",103,"FIRST-YEAR CHINESE",15,6,51,3.4
"939","B CLIM 200",1,NA,NA,"B CLIM",200,"INTRO TO CLIMATE SCI",15,6,49.5,3.3
"940","B CLIM 320",3,NA,NA,"B CLIM",320,"CLIMATE IMPACTS",62,22,208.4,3.36129032258064
"941","B CMU 301",150,NA,NA,"B CMU",301,"BASC WRITTN BUS CMU",5522,212,18278.8,3.31017747193046
"942","B CMU 302",21,NA,NA,"B CMU",302,"BUS COMM FOR ACCTG",711,13,2343.7,3.29634317862166
"943","B CMU 490",1,NA,NA,"B CMU",490,"SPECIAL TOPICS",33,8,118.8,3.6
"944","B CMU 509",13,NA,NA,"B CMU",509,"FINDING YOUR VOICE",276,41,976.9,3.53949275362319
"945","B CMU 579",10,NA,NA,"B CMU",579,"SPEC TOPICS B CMU",198,106,750.4,3.78989898989899
"946","B CORE 104",59,NA,NA,"B CORE",104,"VIS LIT PRFM ART 1",1803,507,6050.6,3.35585135884637
"947","B CORE 107",47,NA,NA,"B CORE",107,"INDVDUALS & SOC 1",1626,454,5368.5,3.30166051660517
"948","B CORE 110",13,NA,NA,"B CORE",110,"NATURAL WORLD 1",351,122,1189.9,3.39002849002849
"949","B CORE 115",28,NA,NA,"B CORE",115,"INDVDUALS & SOC 2",816,331,2759.2,3.38137254901961
"950","B CORE 116",15,NA,NA,"B CORE",116,"NATURAL WORLD 2",410,106,1318.2,3.21512195121951
"951","B CORE 117",33,NA,NA,"B CORE",117,"VIS LIT PRFM ART 2",843,370,2926.7,3.4717674970344
"952","B CORE 118",26,NA,NA,"B CORE",118,"INDVDUALS & SOC 3",654,257,2183.5,3.33868501529052
"953","B CORE 119",9,NA,NA,"B CORE",119,"NATURAL WORLD 3",259,86,878.1,3.39034749034749
"954","B CORE 120",28,NA,NA,"B CORE",120,"VIS LIT PFRM ART 3",737,342,2564.9,3.48018995929444
"955","B CUSP 100",24,NA,NA,"B CUSP",100,"GEN LRNG STRATEGIES",516,198,1721.5,3.33624031007752
"956","B CUSP 101",4,NA,NA,"B CUSP",101,"DISC CORE I: COMP",109,16,343.6,3.15229357798165
"957","B CUSP 102",1,NA,NA,"B CUSP",102,"TRANS TO COLL LEARNG",19,11,72.2,3.8
"958","B CUSP 104",36,NA,NA,"B CUSP",104,"DISC CORE I: ARTS",1383,227,4389,3.17353579175705
"959","B CUSP 107",39,NA,NA,"B CUSP",107,"DISC CORE I:IND SOC",1491,245,4675.8,3.13601609657948
"960","B CUSP 110",8,NA,NA,"B CUSP",110,"DISC CORE I:NAT WLD",242,64,774.9,3.20206611570248
"961","B CUSP 114",2,NA,NA,"B CUSP",114,"DISCORE II: COMP",48,24,160.8,3.35
"962","B CUSP 115",18,NA,NA,"B CUSP",115,"DISCOREII:IND&SOC",607,130,1999.1,3.29341021416804
"963","B CUSP 116",14,NA,NA,"B CUSP",116,"DISCCOREII:NWORLD",444,87,1383.4,3.11576576576577
"964","B CUSP 117",22,NA,NA,"B CUSP",117,"DISCOVERY CORE II",699,188,2297.2,3.28640915593705
"965","B CUSP 118",22,NA,NA,"B CUSP",118,"DCOREIII: PORT I&S",609,173,2032.5,3.33743842364532
"966","B CUSP 119",8,NA,NA,"B CUSP",119,"DCOREIII: PORT NW",220,61,672.5,3.05681818181818
"967","B CUSP 120",26,NA,NA,"B CUSP",120,"DCOREIII: PORT VLPA",718,244,2397.8,3.33955431754875
"968","B CUSP 121",2,NA,NA,"B CUSP",121,"ALGEBRA",44,15,138.4,3.14545454545455
"969","B CUSP 122",21,NA,NA,"B CUSP",122,"INTRO ELEM FUNCTION",605,76,1600.8,2.64595041322314
"970","B CUSP 123",42,NA,NA,"B CUSP",123,"FUNC MOD QUAN REAS",1396,166,3917,2.80587392550143
"971","B CUSP 124",45,NA,NA,"B CUSP",124,"CALCULUS I",1453,214,3903.3,2.68637302133517
"972","B CUSP 125",24,NA,NA,"B CUSP",125,"CALCULUS II",712,123,1943.2,2.72921348314607
"973","B CUSP 126",12,NA,NA,"B CUSP",126,"CALC ANYL GEOM III",305,38,796.1,2.61016393442623
"974","B CUSP 131",26,NA,NA,"B CUSP",131,"SPECIAL TOPICS",645,191,2179.1,3.3784496124031
"975","B CUSP 134",79,NA,NA,"B CUSP",134,"INTERDISC WRITING",1793,325,5630.7,3.14037925264919
"976","B CUSP 135",84,NA,NA,"B CUSP",135,"RESEARCH WRITING",1934,304,6078.8,3.14312306101344
"977","B CUSP 140",25,NA,NA,"B CUSP",140,"SCIENTIFIC JOURNEYS",967,235,3148.4,3.25584281282316
"978","B CUSP 141",1,NA,NA,"B CUSP",141,"NAT HIST & ENV SCI",26,14,93.6,3.6
"979","B CUSP 142",2,NA,NA,"B CUSP",142,"GENERAL CHEMISTRY",169,12,388.7,2.3
"980","B CUSP 143",2,NA,NA,"B CUSP",143,"GENERAL PHYSICS",41,8,125.2,3.05365853658537
"981","B CUSP 144",1,NA,NA,"B CUSP",144,"GENERAL PHYSICS",22,4,66,3
"982","B CUSP 145",1,NA,NA,"B CUSP",145,"GENERAL PHYSICS",22,3,66,3
"983","B CUSP 149",2,NA,NA,"B CUSP",149,"MECHANICS",46,4,133,2.89130434782609
"984","B CUSP 150",2,NA,NA,"B CUSP",150,"ELMAG & OSCIL MOTN",35,3,106.9,3.05428571428571
"985","B CUSP 151",1,NA,NA,"B CUSP",151,"WAVES",18,5,55.8,3.1
"986","B CUSP 152",2,NA,NA,"B CUSP",152,"GENERAL CHEMISTRY",100,9,243.4,2.434
"987","B CUSP 153",3,NA,NA,"B CUSP",153,"INTRO GEOLOGY",69,7,191.1,2.7695652173913
"988","B CUSP 154",3,NA,NA,"B CUSP",154,"INTRO OCEANOGRAPHY",75,30,248.7,3.316
"989","B CUSP 161",8,NA,NA,"B CUSP",161,"DIGITAL THINKING",229,53,705.6,3.08122270742358
"990","B CUSP 162",2,NA,NA,"B CUSP",162,"GENERAL CHEMISTRY",65,15,205.9,3.16769230769231
"991","B CUSP 170",33,NA,NA,"B CUSP",170,"INTRO TO PSYCH",1380,323,4181.2,3.02985507246377
"992","B CUSP 171",2,NA,NA,"B CUSP",171,"WORLD HISTORY I",67,3,184.7,2.75671641791045
"993","B CUSP 172",2,NA,NA,"B CUSP",172,"WORLD HISTORY II",68,2,172,2.52941176470588
"994","B CUSP 173",1,NA,NA,"B CUSP",173,"WORLD HISTORY III",36,1,82.8,2.3
"995","B CUSP 174",4,NA,NA,"B CUSP",174,"AMERICAN BIOGRAPHY",140,41,447.4,3.19571428571429
"996","B CUSP 175",15,NA,NA,"B CUSP",175,"AMERICAN GOVT",624,116,2011.3,3.22323717948718
"997","B CUSP 176",21,NA,NA,"B CUSP",176,"GLOBAL ECON",903,167,2881.7,3.19125138427464
"998","B CUSP 178",8,NA,NA,"B CUSP",178,"INTRO TO COMM",345,26,1084.5,3.14347826086957
"999","B CUSP 179",4,NA,NA,"B CUSP",179,"INTRPRSNL COMM",140,53,500.5,3.575
"1000","B CUSP 181",4,NA,NA,"B CUSP",181,"INTRO TO SOCIOLOGY",140,50,471.4,3.36714285714286
"1001","B CUSP 185",2,NA,NA,"B CUSP",185,"INTRO FILM NARRATIV",40,3,113,2.825
"1002","B CUSP 186",4,NA,NA,"B CUSP",186,"COMICS/GRAPH NOVELS",117,25,391.9,3.34957264957265
"1003","B CUSP 187",5,NA,NA,"B CUSP",187,"LITERARY ANALYSIS",157,24,500.7,3.18917197452229
"1004","B CUSP 188",12,NA,NA,"B CUSP",188,"TPCS ASIAN CULTURES",512,72,1638.7,3.2005859375
"1005","B CUSP 189",12,NA,NA,"B CUSP",189,"MYTH, RITUAL, CULT",435,94,1471.7,3.3832183908046
"1006","B CUSP 190",10,NA,NA,"B CUSP",190,"CONTEMPORARY LIT",305,50,919.6,3.01508196721311
"1007","B CUSP 191",7,NA,NA,"B CUSP",191,"ART AND PUBLIC SPACE",219,50,721.7,3.29543378995434
"1008","B CUSP 192",4,NA,NA,"B CUSP",192,"CULTRL PHIL & REL",155,32,471.5,3.04193548387097
"1009","B CUSP 193",9,NA,NA,"B CUSP",193,"INTRO TO PHILOSOPHY",324,33,1018.6,3.14382716049383
"1010","B CUSP 194",2,NA,NA,"B CUSP",194,"INTRO FILM",66,2,178,2.6969696969697
"1011","B CUSP 197",40,NA,NA,"B CUSP",197,"STUDIO ARTS",747,405,2703,3.61847389558233
"1012","B CUSP 200",49,NA,NA,"B CUSP",200,"INTRO MICROECON",2040,257,5831.6,2.85862745098039
"1013","B CUSP 201",25,NA,NA,"B CUSP",201,"INTRO MACROECON",707,153,2237.3,3.16449787835926
"1014","B CUSP 202",34,NA,NA,"B CUSP",202,"INTRODUCTION TO LAW",1463,129,4537.9,3.10177717019822
"1015","B CUSP 204",1,NA,NA,"B CUSP",204,"LEARNING STRATEGIES",16,1,46.4,2.9
"1016","B CUSP 205",5,NA,NA,"B CUSP",205,"INVENTION&INNOVATN",130,5,411.4,3.16461538461538
"1017","B CUSP 237",1,NA,NA,"B CUSP",237,"ORGANIC CHEMISTRY",41,4,94.3,2.3
"1018","B CUSP 238",1,NA,NA,"B CUSP",238,"ORGANIC CHEMISTRY",19,2,49.4,2.6
"1019","B CUSP 241",1,NA,NA,"B CUSP",241,"ORGANIC CHEM LAB",18,2,52.2,2.9
"1020","B CUSP 270",5,NA,NA,"B CUSP",270,"NEGOT & PERSUASION",154,27,517,3.35714285714286
"1021","B CUSP 290",5,NA,NA,"B CUSP",290,"RESEARCH IN ACTION",100,50,354.7,3.547
"1022","B E 200",5,"College of Built Environments","College of Built Environments","B E",200,"INTRO BUILT ENVMNTS",515,161,1734.5,3.36796116504854
"1023","B E 210",1,NA,NA,"B E",210,"GLOBAL BUILT ENV I",27,11,91.8,3.4
"1024","B E 211",1,NA,NA,"B E",211,"GLOBAL BUILT ENV II",39,20,140.4,3.6
"1025","B E 220",4,NA,NA,"B E",220,"CITIES AND HEALTH",212,51,710.2,3.35
"1026","B ECON 300",87,NA,NA,"B ECON",300,"MANAGERIAL ECON",5946,503,19258,3.23881601076354
"1027","B ECON 301",22,NA,NA,"B ECON",301,"INTERMED MACROECON",937,153,3116.9,3.3264674493063
"1028","B ECON 420",11,NA,NA,"B ECON",420,"FINANCIAL MARKETS",351,32,1149,3.27350427350427
"1029","B ECON 426",9,NA,NA,"B ECON",426,"COMPET GLOBAL EC",333,58,1151.1,3.45675675675676
"1030","B ECON 427",8,NA,NA,"B ECON",427,"INTERNATIONAL FIN",238,24,804.3,3.37941176470588
"1031","B ECON 500",34,NA,NA,"B ECON",500,"INTRO BUS ECON",1781,43,5957.3,3.34491858506457
"1032","B ECON 501",42,NA,NA,"B ECON",501,"ANYLS GLB ECON COND",2434,153,8326.1,3.42074774034511
"1033","B ECON 510",1,NA,NA,"B ECON",510,"MICROECON FOR MGRS",46,14,161,3.5
"1034","B ECON 520",2,NA,NA,"B ECON",520,"FINANCIAL MARKETS",42,5,140.4,3.34285714285714
"1035","B ECON 526",7,NA,NA,"B ECON",526,"COMPET GLOBAL EC",254,55,899.2,3.54015748031496
"1036","B ECON 527",9,NA,NA,"B ECON",527,"INTERNATIONAL FIN",187,26,650.9,3.4807486631016
"1037","B ECON 560",2,NA,NA,"B ECON",560,"STUDENT INV FUND",33,31,130.3,3.94848484848485
"1038","B ECON 579",8,"Foster School of Business","Foster School of Business","B ECON",579,"SPEC TOPICS IN BECN",144,17,501,3.47916666666667
"1039","B EDUC 205",5,NA,NA,"B EDUC",205,"ED EQUITY US",267,175,1002.7,3.75543071161049
"1040","B EDUC 210",7,NA,NA,"B EDUC",210,"ED MULTICLTRL SOC",304,238,1144.1,3.76348684210526
"1041","B EDUC 220",14,NA,NA,"B EDUC",220,"EDUC AND SOCIETY",568,346,2104.9,3.70580985915493
"1042","B EDUC 230",7,NA,NA,"B EDUC",230,"CLTR KNOWLEDGE EDUC",262,141,950.7,3.62862595419847
"1043","B EDUC 250",10,NA,NA,"B EDUC",250,"TPCS EDUC POP CULTR",347,156,1217.8,3.50951008645533
"1044","B EDUC 255",10,NA,NA,"B EDUC",255,"CRITICAL DIVERSITY",176,83,609.3,3.46193181818182
"1045","B EDUC 300",4,NA,NA,"B EDUC",300,"RESEARCH & EDUC",132,76,462.3,3.50227272727273
"1046","B EDUC 315",8,NA,NA,"B EDUC",315,"HISTORY OF ED U.S.",221,90,788.4,3.56742081447964
"1047","B EDUC 320",3,NA,NA,"B EDUC",320,"EDUC AND SOCIETY",77,34,268.4,3.48571428571429
"1048","B EDUC 330",8,NA,NA,"B EDUC",330,"RACE CLTR CLASSROOM",197,105,725.8,3.68426395939086
"1049","B EDUC 391",43,NA,NA,"B EDUC",391,"SPEC TOPICS IN EDUC",1353,843,5024,3.71322985957132
"1050","B EDUC 403",11,NA,NA,"B EDUC",403,"INTRO SPECIAL ED",325,185,1178.6,3.62646153846154
"1051","B EDUC 405",5,NA,NA,"B EDUC",405,"LEARNING & SCHOOLNG",152,119,586.9,3.86118421052632
"1052","B EDUC 408",13,NA,NA,"B EDUC",408,"MLTCLTRL ED/SOC STUD",356,158,1332.9,3.74410112359551
"1053","B EDUC 409",14,NA,NA,"B EDUC",409,"READ, WRITE, COMMUN",395,281,1517,3.84050632911392
"1054","B EDUC 410",14,NA,NA,"B EDUC",410,"READ, WRITE, COMMUN",375,197,1396.2,3.7232
"1055","B EDUC 416",6,NA,NA,"B EDUC",416,"INST DESIGN",168,112,644.4,3.83571428571429
"1056","B EDUC 418",12,NA,NA,"B EDUC",418,"INTERMEDIATE MATH",316,238,1215.5,3.84651898734177
"1057","B EDUC 419",14,NA,NA,"B EDUC",419,"MATHEMATICS",394,314,1518.2,3.85329949238579
"1058","B EDUC 421",14,NA,NA,"B EDUC",421,"ERTH,PHYS,LIF SCI",390,306,1491.9,3.82538461538461
"1059","B EDUC 423",5,NA,NA,"B EDUC",423,"HEALTH/FIT/ABUSE ISS",131,110,504.4,3.85038167938931
"1060","B EDUC 441",8,NA,NA,"B EDUC",441,"SEC LANG ACQUISTION",226,160,859.3,3.80221238938053
"1061","B EDUC 442",1,NA,NA,"B EDUC",442,"INSTR & ASSES ESOL",20,11,76,3.8
"1062","B EDUC 444",1,NA,NA,"B EDUC",444,"LDSHP & ASSESS ESOL",20,4,66,3.3
"1063","B EDUC 456",7,NA,NA,"B EDUC",456,"ADOLESCENTS SOCIETY",191,141,724.9,3.79528795811518
"1064","B EDUC 460",4,NA,NA,"B EDUC",460,"MORAL DIMENSIONS ED",90,26,300.2,3.33555555555556
"1065","B EDUC 461",3,NA,NA,"B EDUC",461,"ED & GENDR INEQLITY",97,68,358.7,3.6979381443299
"1066","B EDUC 466",1,NA,NA,"B EDUC",466,"FOSTERING GEOMETRY",29,19,110.2,3.8
"1067","B EDUC 470",2,NA,NA,"B EDUC",470,"DISABILITY CULTURE",74,55,271.6,3.67027027027027
